REF,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating,ingredient_count,ingredients_list,B,C,L,S,S*,Sa,V,sweet,nutty,cocoa,roasty,earthy,creamy,fatty,sandy,floral,sour,spicy,intense,fruit,molasses,woody,vanilla,sticky,dried fruit,rich,coffee,tart,caramel,grassy,bitter,spice,gritty,dry,fruity,rich cocoa,dairy,oily,brownie,complex,banana,acidic,smokey,astringent,pungent,cherry,off,vegetal,tobacco,honey,smoke,metallic,nut,melon,mild fruit,rubbery,dirty,hammy,smooth,strawberry,mild bitter,off notes,bold,red berry,coarse,citrus,burnt,muted,basic cocoa,rubber,green,black pepper,marshmallow,tangy,bland,chemical,nuts,licorice,raisins,orange
2162,Argencove,Nicaragua,2018,Nicaragua,Cocibolca,0.7,"2- B,S","roasty, rich cocoa",3.5,2," B,S",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2562,Aruntam,Italy,2021,India,"Idukki Kerala, lot IN728221",0.72,"4- B,S,C,L","cinamon, nutmeg, fatty",3.25,4," B,S,C,L",1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2294,Bankston,U.S.A.,2019,Tanzania,Kokoa Kamili,0.72,"3- B,S,C","base cocoa, mild fruit, roasty",3.25,3," B,S,C",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2190,Belvie,Vietnam,2018,Vietnam,Lam Dong,0.75,"3- B,S,C","high acidity, nutty, roasty",3.25,3," B,S,C",1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2084,Bitacora,Venezuela,2018,Venezuela,Aragua,0.7,"4- B,S,C,L","smooth texture, earthy, nutty",3.5,4," B,S,C,L",1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2554,Bonnat,France,2021,Nicaragua,"El Castillero, Indio Maiz",0.75,"3- B,S,C","bold, woody, nut, roasty, creamy",3.75,3," B,S,C",1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2558,Caofiori,Colombia,2021,Colombia,Choco,0.7,"4- B,S,C,L","single note of cocoa, fatty",3.5,4," B,S,C,L",1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2558,Caofiori,Colombia,2021,Colombia,Arauca,0.7,"4- B,S,C,L","spice, oats, nutty, fatty",3.25,4," B,S,C,L",1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2558,Caofiori,Colombia,2021,Colombia,Tumaco,0.7,"4- B,S,C,L","spice, honey, fatty",3.25,4," B,S,C,L",1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2238,Chapon,France,2018,Venezuela,"San Esteban (Chloe, Maria, Patrice)",0.68,"3- B,S,C","butter, roasty, cocoa, nutty",3.5,3," B,S,C",1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
